"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:49 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.739857","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092143","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124024","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11594816","203353726","453421136","840980","0","452256864","71929","7458876","0","0"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11612704","203855211","453081366","840486","0","451917022","67887","7320326","0","0"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11582816","203320189","453263505","843988","0","452097324","69219","7398947","0","0"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11591424","203436190","453297680","845429","0","452133398","69542","7411839","0","0"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11600192","203757070","453653516","847014","0","452487318","69687","7525830","0","0"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11569344","203268454","453364016","843404","0","452199744","69295","7421076","0","0"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11584896","204382357","453133957","848475","0","451969047","68810","7337262","0","0"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11589696","203985190","453466879","841349","0","452301770","69580","7458277","0","0"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11591840","204196005","453328515","847198","0","452163384","70849","7407901","0","0"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11629376","204055226","453502992","835904","0","452337819","68027","7486091","0","0"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11579520","203617677","453336467","842563","0","452171281","68867","7425585","0","0"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11672608","204661882","453355799","843305","0","452190039","69495","7432477","0","0"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11646688","204580238","453328591","839189","0","452162586","70833","7422484","0","0"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11630112","204640236","453133844","833685","0","451968179","67765","7335840","0","0"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","722295904","13126113363","1995849185","35705347","0","1942946141","2752482","236139632","0","0"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14962880","272852967","238871229","740196","0","237772124","60409","70667553","0","0"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","14938304","272146368","36086085","746693","0","34981781","56177","3070347","0","0"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14928384","271441521","36508269","741419","0","35404041","57002","3237455","0","0"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","14944672","272284029","36092165","742861","0","34988089","54965","3070219","0","0"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14929184","271535772","36179089","743059","0","35075113","58411","3114283","0","0"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14871008","270735294","36084101","746592","0","34980277","56137","3068413","0","0"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14905760","271208412","36305565","741103","0","35201561","57681","3165117","0","0"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14874272","270597665","36358213","738835","0","35255185","57489","3183109","0","0"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","14984512","272647010","36077706","745552","0","34973850","54483","3061276","0","0"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14883488","270268922","36414396","743842","0","35311496","58970","3204898","0","0"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14894688","271051257","36137820","742059","0","35034608","57766","3104254","0","0"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14887136","270811926","36302821","743278","0","35199769","59629","3162961","0","0"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15069920","274614624","68610295","740615","0","67512007","58700","13923253","0","0"
