"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:56 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11603232","203146638","8182475","0","0","3028654","0","0","1169470","0"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11660064","203843446","8190825","0","0","2129382","0","0","1163595","0"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11664288","203950138","8188408","0","0","1226099","0","0","1175731","0"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","722891008","13124150837","22574889","0","0","31584211","0","0","98589485","0"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14982208","273018445","214103","0","0","295826","0","0","1869917","0"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","14960384","272130890","529449","0","0","285142","0","0","1978596","0"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14937280","271957653","208863","0","0","302286","0","0","1828218","0"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","14995328","272955819","491374","0","0","298464","0","0","2092914","0"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14967904","272152028","633441","0","0","637640","0","0","2015648","0"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14978528","272192935","324468","0","0","658756","0","0","1767488","0"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14951264","272062586","618873","0","0","642052","0","0","2145825","0"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14974592","272283176","339973","0","0","663018","0","0","1789204","0"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15010080","272625825","356368","0","0","696518","0","0","1825522","0"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14937888","270762621","601383","0","0","699456","0","0","1887659","0"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14984512","271998372","354178","0","0","708426","0","0","1860634","0"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14909792","271007863","659035","0","0","695318","0","0","1983449","0"
