"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:07 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","724726656","13146303451","1202209816","51","0","443904350","63","0","733298574","11555461"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","15033824","273742685","64074002","0","0","10291175","0","0","24997483","930638"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","15038464","273612379","64084452","0","0","10291068","0","0","24997718","932145"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14982112","272201189","64065834","0","0","10297304","0","0","24997481","929402"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","15022496","272984910","64074765","0","0","10289002","0","0","24993199","931195"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","15047168","273764401","64107381","0","0","10297158","0","0","25007577","932942"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14950944","271777907","64031959","0","0","10285944","0","0","24943269","927485"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","15019296","272653930","64065069","0","0","10301754","0","0","24975567","931652"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14958528","271259310","64024899","0","0","10301763","0","0","24962682","928000"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","15026176","272811260","64051123","0","0","10301895","0","0","24963957","932350"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","15023968","272790994","64045808","0","0","10307916","0","0","24986721","929701"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14986336","271958714","64047583","0","0","10303876","0","0","24960207","931575"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14958304","270695763","63880188","0","0","10304123","0","0","24861031","921158"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15110400","274436537","11983421","0","0","8860787","0","0","11989017","5740"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15168032","275583866","12035452","0","0","8859582","0","0","12041305","5775"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15129568","274619720","12036597","0","0","8860646","0","0","12041047","5639"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15155840","275597884","12035536","0","0","8860134","0","0","12041664","5787"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15140096","275522143","12036708","0","0","8861445","0","0","12042251","5775"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15166720","275717851","12035241","0","0","8860659","0","0","12041890","5778"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15108864","274454129","11991728","0","0","8869523","0","0","11998762","5755"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15161248","275377735","12039808","0","0","8863312","0","0","12044873","5780"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15100672","273832576","11989667","0","0","8865898","0","0","11993144","5743"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15120960","274207328","11990926","0","0","8864618","0","0","11995365","5752"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15180960","274984206","12048120","0","0","8870510","0","0","12053777","5780"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15165376","274980974","12043034","0","0","8862386","0","0","12047922","5775"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","15116288","274082770","12052491","5","0","8875435","6","0","12021381","26113"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15003872","272215746","12039131","1","0","8875334","3","0","12008224","26022"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15064672","273366392","12041080","2","0","8875819","6","0","12009046","26021"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15079712","273265090","12054710","4","0","8875881","3","0","12021565","26124"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15122400","274205718","12061054","5","0","8878622","6","0","12027140","26127"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15135648","274586798","12056775","5","0","8877210","6","0","12023408","26106"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15120224","274330889","12055878","5","0","8876913","6","0","12024328","26111"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15111168","274034193","12057792","5","0","8878789","6","0","12024200","26113"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15142464","273933828","12057862","5","0","8878257","6","0","12023813","26129"
"FAPP-cpupa","Thread","0","0","33","packB","1","840","15151680","274169621","12063648","5","0","8879652","6","0","12027698","26127"
"FAPP-cpupa","Thread","0","0","34","packB","1","840","15144160","274468541","12061161","5","0","8878801","6","0","12027450","26113"
"FAPP-cpupa","Thread","0","0","35","packB","1","840","15091552","273127561","12057247","4","0","8879054","3","0","12022921","26114"
"FAPP-cpupa","Thread","0","0","36","packB","1","840","15149152","274592772","12084110","0","0","8956600","0","0","12109819","1259"
"FAPP-cpupa","Thread","0","0","37","packB","1","840","15096864","273628296","12031193","0","0","8955695","0","0","12055980","1217"
"FAPP-cpupa","Thread","0","0","38","packB","1","840","15185152","275010702","12097924","0","0","8963522","0","0","12116316","1260"
"FAPP-cpupa","Thread","0","0","39","packB","1","840","15162464","274790746","12079793","0","0","8954336","0","0","12106065","1259"
"FAPP-cpupa","Thread","0","0","40","packB","1","840","15181824","275283970","12077426","0","0","8952719","0","0","12105797","1259"
"FAPP-cpupa","Thread","0","0","41","packB","1","840","15115808","273448503","12071428","0","0","8949334","0","0","12100914","1207"
"FAPP-cpupa","Thread","0","0","42","packB","1","840","15153952","274600141","12075599","0","0","8952641","0","0","12105486","1275"
"FAPP-cpupa","Thread","0","0","43","packB","1","840","15101568","273557083","12022714","0","0","8952029","0","0","12051557","1233"
"FAPP-cpupa","Thread","0","0","44","packB","1","840","15152384","274451169","12074317","0","0","8951332","0","0","12104832","1255"
"FAPP-cpupa","Thread","0","0","45","packB","1","840","15183648","274870573","12074886","0","0","8951524","0","0","12103366","1259"
"FAPP-cpupa","Thread","0","0","46","packB","1","840","15104320","273476195","12022150","0","0","8951298","0","0","12049685","1218"
"FAPP-cpupa","Thread","0","0","47","packB","1","840","15099328","273237763","12020146","0","0","8951075","0","0","12049674","1218"
