"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:00 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.886844","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091305","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123656","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Thread","0","0","33","kernel","1","840","11619168","203688875","0","0","0","1086281572","925468419","67945219","57877239","0"
"FAPP-cpupa","Thread","0","0","34","kernel","1","840","11621760","203335476","0","0","0","1085863854","925949211","67920214","57906236","0"
"FAPP-cpupa","Thread","0","0","35","kernel","1","840","11659680","203897285","0","0","0","1085475431","925815675","67896830","57897071","0"
"FAPP-cpupa","Thread","0","0","36","kernel","1","840","11633344","203788044","0","0","0","1088118568","923640273","68061738","57760613","0"
"FAPP-cpupa","Thread","0","0","37","kernel","1","840","11599776","203545070","0","0","0","1087464842","924721574","68026987","57822795","0"
"FAPP-cpupa","Thread","0","0","38","kernel","1","840","11633280","204193784","0","0","0","1087172375","924335432","68008135","57799228","0"
"FAPP-cpupa","Thread","0","0","39","kernel","1","840","11624512","203975074","0","0","0","1086818391","924998008","67990849","57835002","0"
"FAPP-cpupa","Thread","0","0","40","kernel","1","840","11619072","204275535","0","0","0","1089096834","922650500","68126465","57695945","0"
"FAPP-cpupa","Thread","0","0","41","kernel","1","840","11641792","204484308","0","0","0","1087893691","924447778","68050409","57809109","0"
"FAPP-cpupa","Thread","0","0","42","kernel","1","840","11626624","203858736","0","0","0","1086722257","924872741","67982123","57830643","0"
"FAPP-cpupa","Thread","0","0","43","kernel","1","840","11660032","204549920","0","0","0","1086540270","925219056","67972828","57850281","0"
"FAPP-cpupa","Thread","0","0","44","kernel","1","840","11649024","203886382","0","0","0","1085199449","926853866","67885463","57955997","0"
"FAPP-cpupa","Thread","0","0","45","kernel","1","840","11620608","204005419","0","0","0","1086356257","925490892","67953639","57874994","0"
"FAPP-cpupa","Thread","0","0","46","kernel","1","840","11681632","204539695","0","0","0","1086098194","925895040","67941882","57895812","0"
"FAPP-cpupa","Thread","0","0","47","kernel","1","840","11683040","204189958","0","0","0","1085910618","925044937","67921557","57851326","0"
"FAPP-cpupa","Process","0","0","-","packB","1","40320","719750400","13059639276","0","0","0","7224803232","6216197792","451537522","388523864","0"
"FAPP-cpupa","Thread","0","0","0","packB","1","840","14919552","271759698","0","0","0","151948096","1186071952","9496129","74129701","0"
"FAPP-cpupa","Thread","0","0","1","packB","1","840","14959808","272035088","0","0","0","149355744","102103104","9334928","6381765","0"
"FAPP-cpupa","Thread","0","0","2","packB","1","840","14881248","270422373","0","0","0","150267824","101026416","9391430","6314415","0"
"FAPP-cpupa","Thread","0","0","3","packB","1","840","14926528","271371916","0","0","0","150234688","101634000","9389472","6352322","0"
"FAPP-cpupa","Thread","0","0","4","packB","1","840","14896320","271540374","0","0","0","150726320","102259856","9420268","6391376","0"
"FAPP-cpupa","Thread","0","0","5","packB","1","840","14837344","269556875","0","0","0","151731584","100080192","9482982","6255291","0"
"FAPP-cpupa","Thread","0","0","6","packB","1","840","14921568","271409807","0","0","0","151407120","101847904","9462690","6365764","0"
"FAPP-cpupa","Thread","0","0","7","packB","1","840","14911168","270761507","0","0","0","151373840","101641808","9460610","6352906","0"
"FAPP-cpupa","Thread","0","0","8","packB","1","840","14914304","270724240","0","0","0","151793824","101905680","9486854","6369339","0"
"FAPP-cpupa","Thread","0","0","9","packB","1","840","14898112","270641664","0","0","0","150386432","101274512","9398903","6329922","0"
"FAPP-cpupa","Thread","0","0","10","packB","1","840","14860352","269805576","0","0","0","152077792","101873584","9504613","6367310","0"
"FAPP-cpupa","Thread","0","0","11","packB","1","840","14882912","270424044","0","0","0","150598256","101352640","9412511","6334472","0"
